mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__C,param_classifier__coef0,param_classifier__degree,param_classifier__gamma,param_classifier__kernel,param_classifier__random_state,param_classifier__criterion,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,param_classifier__n_jobs,param_classifier__algorithm,param_classifier__leaf_size,param_classifier__metric,param_classifier__n_neighbors,param_classifier__p,param_classifier__weights,param_classifier__splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.6610808610916138,0.021490939111900646,0.05816149711608887,0.0034501709692864,SVC(),0.001,0.0,2,scale,linear,42,,,,,,,,,,,,,,,"{'classifier': SVC(), 'classifier__C': 0.001, 'classifier__coef0': 0.0, 'classifier__degree': 2, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear', 'classifier__random_state': 42}",0.2945945945945946,0.26756756756756755,0.3054054054054054,0.2945945945945946,0.32972972972972975,0.3081081081081081,0.2945945945945946,0.25675675675675674,0.27297297297297296,0.3216216216216216,0.2945945945945946,0.02212257505911474,2708
0.7984781742095948,0.0649495290211722,0.0638312816619873,0.0041370801585073535,SVC(),0.001,0.0,2,scale,poly,42,,,,,,,,,,,,,,,"{'classifier': SVC(), 'classifier__C': 0.001, 'classifier__coef0': 0.0, 'classifier__degree': 2, 'classifier__gamma': 'scale', 'classifier__kernel': 'poly', 'classifier__random_state': 42}",0.12432432432432433,0.11891891891891893,0.13243243243243244,0.11621621621621622,0.11351351351351352,0.12702702702702703,0.12432432432432433,0.12432432432432433,0.11891891891891893,0.13513513513513514,0.12351351351351351,0.006514578807131865,3299
1.1407968521118164,0.10916018975683692,0.10407671928405762,0.007882739121086023,SVC(),0.001,0.0,2,scale,rbf,42,,,,,,,,,,,,,,,"{'classifier': SVC(), 'classifier__C': 0.001, 'classifier__coef0': 0.0, 'classifier__degree': 2, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf', 'classifier__random_state': 42}",0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0972972972972973,0.0972972972972973,0.0945945945945946,0.0945945945945946,0.09513513513513513,0.001081081081081081,3338
1.3443415641784668,0.06832736251805299,0.0978546380996704,0.004951985892918802,SVC(),0.001,0.0,2,scale,sigmoid,42,,,,,,,,,,,,,,,"{'classifier': SVC(), 'classifier__C': 0.001, 'classifier__coef0': 0.0, 'classifier__degree': 2, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid', 'classifier__random_state': 42}",0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0972972972972973,0.0972972972972973,0.0945945945945946,0.0945945945945946,0.09513513513513513,0.001081081081081081,3338
0.6559444189071655,0.10904760032289815,0.0658858060836792,0.016830395009188294,SVC(),0.001,0.0,2,auto,linear,42,,,,,,,,,,,,,,,"{'classifier': SVC(), 'classifier__C': 0.001, 'classifier__coef0': 0.0, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'linear', 'classifier__random_state': 42}",0.2945945945945946,0.26756756756756755,0.3054054054054054,0.2945945945945946,0.32972972972972975,0.3081081081081081,0.2945945945945946,0.25675675675675674,0.27297297297297296,0.3216216216216216,0.2945945945945946,0.02212257505911474,2708
0.7682165622711181,0.03626386544890292,0.06074814796447754,0.004416655245212583,SVC(),0.001,0.0,2,auto,poly,42,,,,,,,,,,,,,,,"{'classifier': SVC(), 'classifier__C': 0.001, 'classifier__coef0': 0.0, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly', 'classifier__random_state': 42}",0.12432432432432433,0.11891891891891893,0.13243243243243244,0.11621621621621622,0.11351351351351352,0.12702702702702703,0.12432432432432433,0.12432432432432433,0.11891891891891893,0.13513513513513514,0.12351351351351351,0.006514578807131865,3299
1.0543464183807374,0.03893500431909399,0.10064728260040283,0.0022750664810158522,SVC(),0.001,0.0,2,auto,rbf,42,,,,,,,,,,,,,,,"{'classifier': SVC(), 'classifier__C': 0.001, 'classifier__coef0': 0.0, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf', 'classifier__random_state': 42}",0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0972972972972973,0.0972972972972973,0.0945945945945946,0.0945945945945946,0.09513513513513513,0.001081081081081081,3338
1.3142026901245116,0.0449452206057095,0.09536497592926026,0.0010702911370267354,SVC(),0.001,0.0,2,auto,sigmoid,42,,,,,,,,,,,,,,,"{'classifier': SVC(), 'classifier__C': 0.001, 'classifier__coef0': 0.0, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'sigmoid', 'classifier__random_state': 42}",0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0972972972972973,0.0972972972972973,0.0945945945945946,0.0945945945945946,0.09513513513513513,0.001081081081081081,3338
0.6052609920501709,0.017233021221307456,0.05976414680480957,0.006386129535506697,SVC(),0.001,0.0,2,0.001,linear,42,,,,,,,,,,,,,,,"{'classifier': SVC(), 'classifier__C': 0.001, 'classifier__coef0': 0.0, 'classifier__degree': 2, 'classifier__gamma': 0.001, 'classifier__kernel': 'linear', 'classifier__random_state': 42}",0.2945945945945946,0.26756756756756755,0.3054054054054054,0.2945945945945946,0.32972972972972975,0.3081081081081081,0.2945945945945946,0.25675675675675674,0.27297297297297296,0.3216216216216216,0.2945945945945946,0.02212257505911474,2708
0.7449701309204102,0.013222114198606666,0.06299054622650146,0.001802751696131547,SVC(),0.001,0.0,2,0.001,poly,42,,,,,,,,,,,,,,,"{'classifier': SVC(), 'classifier__C': 0.001, 'classifier__coef0': 0.0, 'classifier__degree': 2, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly', 'classifier__random_state': 42}",0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0945945945945946,0.0972972972972973,0.0972972972972973,0.0945945945945946,0.0945945945945946,0.09513513513513513,0.001081081081081081,3338
